my,opp,n,wins,wr,ci_lo,ci_hi
Dragapult ex,Dragapult ex,9974,4987,50.0,49.0,51.0
Dragapult ex,Mega Kangaskhan ex,7833,3636,46.4,45.3,47.5
Mega Kangaskhan ex,Dragapult ex,7833,4176,53.3,52.2,54.4
Dragapult ex,Hydrapple ex,5634,2833,50.3,49.0,51.6
Hydrapple ex,Dragapult ex,5634,2801,49.7,48.4,51.0
Mega Kangaskhan ex,Mega Kangaskhan ex,4916,2449,49.8,48.4,51.2
Hydrapple ex,Mega Kangaskhan ex,3862,1900,49.2,47.6,50.8
Mega Kangaskhan ex,Hydrapple ex,3862,1922,49.8,48.2,51.3
Alakazam,Dragapult ex,2813,1001,35.6,33.8,37.4
Dragapult ex,Alakazam,2813,1812,64.4,62.6,66.2
Hydrapple ex,Hydrapple ex,2784,1392,50.0,48.1,51.9
Alakazam,Mega Kangaskhan ex,1881,1040,55.3,53.0,57.5
Mega Kangaskhan ex,Alakazam,1881,841,44.7,42.5,47.0
Hydrapple ex,Alakazam,1622,544,33.5,31.3,35.9
Alakazam,Hydrapple ex,1622,1078,66.5,64.1,68.7
Mega Lopunny ex,Dragapult ex,1527,750,49.1,46.6,51.6
Dragapult ex,Mega Lopunny ex,1527,777,50.9,48.4,53.4
Mega Lopunny ex,Mega Kangaskhan ex,1037,446,43.0,40.0,46.0
Mega Kangaskhan ex,Mega Lopunny ex,1037,580,55.9,52.9,58.9
Mega Lopunny ex,Hydrapple ex,962,241,25.1,22.4,27.9
Hydrapple ex,Mega Lopunny ex,962,721,74.9,72.1,77.6
Alakazam,Alakazam,740,370,50.0,46.4,53.6
Alakazam,Mega Lopunny ex,551,246,44.6,40.5,48.8
Mega Lopunny ex,Alakazam,551,305,55.4,51.2,59.5
Dragapult ex,Mega Lucario ex,456,235,51.5,47.0,56.1
Mega Lucario ex,Dragapult ex,456,221,48.5,43.9,53.0
Dragapult ex,Thwackey,431,282,65.4,60.8,69.8
Thwackey,Dragapult ex,431,149,34.6,30.2,39.2
Seaking,Dragapult ex,390,146,37.4,32.8,42.3
Dragapult ex,Seaking,390,244,62.6,57.7,67.2
Mega Kangaskhan ex,Mega Lucario ex,355,230,64.8,59.7,69.6
Mega Lucario ex,Mega Kangaskhan ex,355,125,35.2,30.4,40.3
Latias ex,Dragapult ex,334,212,63.5,58.2,68.5
Dragapult ex,Latias ex,334,122,36.5,31.5,41.8
Sylveon,Dragapult ex,332,231,69.6,64.4,74.3
Dragapult ex,Sylveon,332,100,30.1,25.4,35.3
Arboliva ex,Dragapult ex,331,166,50.2,44.8,55.5
Dragapult ex,Arboliva ex,331,165,49.8,44.5,55.2
Mega Kangaskhan ex,Thwackey,309,147,47.6,42.1,53.1
Thwackey,Mega Kangaskhan ex,309,161,52.1,46.5,57.6
Thwackey,Hydrapple ex,293,162,55.3,49.6,60.9
Hydrapple ex,Thwackey,293,131,44.7,39.1,50.4
Seaking,Hydrapple ex,278,186,66.9,61.2,72.2
Hydrapple ex,Seaking,278,92,33.1,27.8,38.8
Mega Lopunny ex,Mega Lopunny ex,270,135,50.0,44.1,55.9
Mega Kangaskhan ex,Seaking,267,193,72.3,66.6,77.3
Seaking,Mega Kangaskhan ex,267,74,27.7,22.7,33.4
Mega Kangaskhan ex,Arboliva ex,264,112,42.4,36.6,48.5
Arboliva ex,Mega Kangaskhan ex,264,152,57.6,51.5,63.4
Mega Kangaskhan ex,Sylveon,263,146,55.5,49.5,61.4
Sylveon,Mega Kangaskhan ex,263,117,44.5,38.6,50.5
Cynthia's Garchomp ex,Dragapult ex,237,110,46.4,40.2,52.8
Dragapult ex,Cynthia's Garchomp ex,237,127,53.6,47.2,59.8
Latias ex,Mega Kangaskhan ex,236,118,50.0,43.7,56.3
Mega Kangaskhan ex,Latias ex,236,118,50.0,43.7,56.3
Mega Heracross ex,Dragapult ex,216,129,59.7,53.1,66.0
Dragapult ex,Mega Heracross ex,216,87,40.3,34.0,46.9
Dragapult ex,Crustle,209,130,62.2,55.5,68.5
Crustle,Dragapult ex,209,79,37.8,31.5,44.5
Mega Lucario ex,Hydrapple ex,206,109,52.9,46.1,59.6
Hydrapple ex,Mega Lucario ex,206,96,46.6,39.9,53.4
Dragapult ex,Marnie's Grimmsnarl ex,200,140,70.0,63.3,75.9
Marnie's Grimmsnarl ex,Dragapult ex,200,60,30.0,24.1,36.7
Crustle,Hydrapple ex,165,80,48.5,41.0,56.1
Hydrapple ex,Crustle,165,85,51.5,43.9,59.0
Hydrapple ex,Arboliva ex,163,92,56.4,48.8,63.8
Arboliva ex,Hydrapple ex,163,71,43.6,36.2,51.2
Crustle,Mega Kangaskhan ex,159,82,51.6,43.9,59.2
Mega Kangaskhan ex,Crustle,159,77,48.4,40.8,56.1
Hydrapple ex,Cynthia's Garchomp ex,158,98,62.0,54.3,69.2
Cynthia's Garchomp ex,Hydrapple ex,158,60,38.0,30.8,45.7
Hydrapple ex,Sylveon,158,73,46.2,38.6,54.0
Sylveon,Hydrapple ex,158,85,53.8,46.0,61.4
Mega Kangaskhan ex,Mega Heracross ex,156,100,64.1,56.3,71.2
Mega Heracross ex,Mega Kangaskhan ex,156,54,34.6,27.6,42.4
Hydrapple ex,Mega Heracross ex,145,85,58.6,50.5,66.3
Mega Heracross ex,Hydrapple ex,145,60,41.4,33.7,49.5
Alakazam,Thwackey,140,62,44.3,36.3,52.6
Thwackey,Alakazam,140,78,55.7,47.4,63.7
Hydrapple ex,Latias ex,137,90,65.7,57.4,73.1
Latias ex,Hydrapple ex,137,47,34.3,26.9,42.6
Seaking,Alakazam,135,90,66.7,58.4,74.1
Alakazam,Seaking,135,45,33.3,25.9,41.6
Cynthia's Garchomp ex,Mega Kangaskhan ex,133,58,43.6,35.5,52.1
Mega Kangaskhan ex,Cynthia's Garchomp ex,133,74,55.6,47.2,63.8
Mega Kangaskhan ex,Marnie's Grimmsnarl ex,129,96,74.4,66.3,81.2
Marnie's Grimmsnarl ex,Mega Kangaskhan ex,129,30,23.3,16.8,31.3
Marnie's Grimmsnarl ex,Hydrapple ex,128,30,23.4,16.9,31.5
Hydrapple ex,Marnie's Grimmsnarl ex,128,98,76.6,68.5,83.1
Mega Lucario ex,Alakazam,99,72,72.7,63.2,80.5
Alakazam,Mega Lucario ex,99,27,27.3,19.5,36.8
Thwackey,Mega Lopunny ex,95,64,67.4,57.4,76.0
Mega Lopunny ex,Thwackey,95,31,32.6,24.0,42.6
Cynthia's Garchomp ex,Alakazam,90,38,42.2,32.5,52.5
Alakazam,Cynthia's Garchomp ex,90,52,57.8,47.5,67.5
Alakazam,Mega Heracross ex,86,25,29.1,20.5,39.4
