my,opp,n,wins,wr,ci_lo,ci_hi
Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex,48426,24192,50.0,49.5,50.4
Alakazam,Alakazam,35024,17510,50.0,49.5,50.5
Marnie's Grimmsnarl ex,Alakazam,24534,13783,56.2,55.6,56.8
Alakazam,Marnie's Grimmsnarl ex,24534,10740,43.8,43.2,44.4
Alakazam,Mega Kangaskhan ex,13279,7113,53.6,52.7,54.4
Mega Kangaskhan ex,Alakazam,13279,6165,46.4,45.6,47.3
Marnie's Grimmsnarl ex,Mega Kangaskhan ex,12899,5443,42.2,41.3,43.1
Mega Kangaskhan ex,Marnie's Grimmsnarl ex,12899,7437,57.7,56.8,58.5
Mega Lucario ex,Mega Lucario ex,12768,6368,49.9,49.0,50.7
Mega Lucario ex,Alakazam,8815,3713,42.1,41.1,43.2
Alakazam,Mega Lucario ex,8815,5092,57.8,56.7,58.8
Team Rocket's Mewtwo ex,Marnie's Grimmsnarl ex,7150,3191,44.6,43.5,45.8
Marnie's Grimmsnarl ex,Team Rocket's Mewtwo ex,7150,3956,55.3,54.2,56.5
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,5875,3432,58.4,57.2,59.7
Marnie's Grimmsnarl ex,Cynthia's Garchomp ex,5875,2440,41.5,40.3,42.8
Alakazam,Hop’s Snorlax,5752,2633,45.8,44.5,47.1
Hop’s Snorlax,Alakazam,5752,3114,54.1,52.8,55.4
Team Rocket's Mewtwo ex,Alakazam,5597,4027,71.9,70.8,73.1
Alakazam,Team Rocket's Mewtwo ex,5597,1569,28.0,26.9,29.2
Mega Starmie ex,Alakazam,5422,2750,50.7,49.4,52.0
Alakazam,Mega Starmie ex,5422,2672,49.3,48.0,50.6
Dragapult ex,Alakazam,5395,3000,55.6,54.3,56.9
Alakazam,Dragapult ex,5395,2395,44.4,43.1,45.7
Alakazam,Cynthia's Garchomp ex,5354,3171,59.2,57.9,60.5
Cynthia's Garchomp ex,Alakazam,5354,2183,40.8,39.5,42.1
Alakazam,Archaludon ex,5328,3047,57.2,55.9,58.5
Archaludon ex,Alakazam,5328,2281,42.8,41.5,44.1
Hop’s Snorlax,Hop’s Snorlax,5306,2630,49.6,48.2,50.9
Hop’s Snorlax,Mega Lucario ex,5072,3791,74.7,73.5,75.9
Mega Lucario ex,Hop’s Snorlax,5072,1276,25.2,24.0,26.4
Archaludon ex,Archaludon ex,4836,2418,50.0,48.6,51.4
Marnie's Grimmsnarl ex,Dragapult ex,4819,2354,48.8,47.4,50.3
Dragapult ex,Marnie's Grimmsnarl ex,4819,2464,51.1,49.7,52.5
Marnie's Grimmsnarl ex,Mega Lopunny ex,4787,1967,41.1,39.7,42.5
Mega Lopunny ex,Marnie's Grimmsnarl ex,4787,2819,58.9,57.5,60.3
Mega Kangaskhan ex,Mega Kangaskhan ex,4786,2391,50.0,48.5,51.4
Crustle,Mega Lucario ex,3108,2029,65.3,63.6,66.9
Mega Lucario ex,Crustle,3108,1075,34.6,32.9,36.3
Crustle,Crustle,3028,1510,49.9,48.1,51.6
Marnie's Grimmsnarl ex,Thwackey,2651,1083,40.9,39.0,42.7
Thwackey,Marnie's Grimmsnarl ex,2651,1566,59.1,57.2,60.9
Marnie's Grimmsnarl ex,Teal Mask Ogerpon ex,2632,423,16.1,14.7,17.5
Teal Mask Ogerpon ex,Marnie's Grimmsnarl ex,2632,2209,83.9,82.5,85.3
Mega Starmie ex,Marnie's Grimmsnarl ex,2428,888,36.6,34.7,38.5
