my,opp,n,wins,wr,ci_lo,ci_hi
Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex,3446,1721,49.9,48.3,51.6
Marnie's Grimmsnarl ex,Alakazam,2289,1226,53.6,51.5,55.6
Alakazam,Marnie's Grimmsnarl ex,2289,1062,46.4,44.4,48.4
Marnie's Grimmsnarl ex,Mega Lopunny ex,1710,671,39.2,37.0,41.6
Mega Lopunny ex,Marnie's Grimmsnarl ex,1710,1039,60.8,58.4,63.0
Dragapult ex,Marnie's Grimmsnarl ex,1683,1040,61.8,59.4,64.1
Marnie's Grimmsnarl ex,Dragapult ex,1683,643,38.2,35.9,40.6
Dragapult ex,Dragapult ex,1506,753,50.0,47.5,52.5
Alakazam,Alakazam,1378,689,50.0,47.4,52.6
Dragapult ex,Alakazam,1193,796,66.7,64.0,69.3
Alakazam,Dragapult ex,1193,397,33.3,30.7,36.0
Mega Kangaskhan ex,Marnie's Grimmsnarl ex,1189,681,57.3,54.4,60.1
Marnie's Grimmsnarl ex,Mega Kangaskhan ex,1189,506,42.6,39.8,45.4
Mega Lopunny ex,Alakazam,1176,608,51.7,48.8,54.5
Alakazam,Mega Lopunny ex,1176,568,48.3,45.5,51.2
Mega Lopunny ex,Dragapult ex,981,435,44.3,41.3,47.5
Dragapult ex,Mega Lopunny ex,981,546,55.7,52.5,58.7
Mega Lopunny ex,Mega Lopunny ex,876,438,50.0,46.7,53.3
Mega Kangaskhan ex,Dragapult ex,806,443,55.0,51.5,58.4
Dragapult ex,Mega Kangaskhan ex,806,363,45.0,41.6,48.5
Alakazam,Mega Kangaskhan ex,791,431,54.5,51.0,57.9
Mega Kangaskhan ex,Alakazam,791,359,45.4,41.9,48.9
Hydrapple ex,Dragapult ex,714,375,52.5,48.9,56.2
Dragapult ex,Hydrapple ex,714,339,47.5,43.8,51.1
Hydrapple ex,Marnie's Grimmsnarl ex,693,526,75.9,72.6,78.9
Marnie's Grimmsnarl ex,Hydrapple ex,693,167,24.1,21.1,27.4
Mega Lopunny ex,Mega Kangaskhan ex,665,382,57.4,53.7,61.1
Mega Kangaskhan ex,Mega Lopunny ex,665,280,42.1,38.4,45.9
Mega Lucario ex,Marnie's Grimmsnarl ex,590,320,54.2,50.2,58.2
Marnie's Grimmsnarl ex,Mega Lucario ex,590,270,45.8,41.8,49.8
Marnie's Grimmsnarl ex,Teal Mask Ogerpon ex,559,103,18.4,15.4,21.9
Teal Mask Ogerpon ex,Marnie's Grimmsnarl ex,559,456,81.6,78.1,84.6
Hydrapple ex,Alakazam,501,188,37.5,33.4,41.8
Alakazam,Hydrapple ex,501,313,62.5,58.2,66.6
Hydrapple ex,Mega Lopunny ex,494,375,75.9,71.9,79.5
Mega Lopunny ex,Hydrapple ex,494,119,24.1,20.5,28.1
Dragapult ex,Mega Lucario ex,471,247,52.4,47.9,56.9
Mega Lucario ex,Dragapult ex,471,223,47.3,42.9,51.9
Marnie's Grimmsnarl ex,Thwackey,443,163,36.8,32.4,41.4
